postalFrom,postalTo,weightFrom,weightTo,priceRate
200,299,6,7,$11.76
200,299,7,8,$12.22
200,299,8,9,$12.68
200,299,9,10,$13.14
200,299,10,11,$13.60
200,299,11,12,$14.06
200,299,12,13,$14.52
200,299,13,14,$14.98
200,299,14,15,$15.44
200,299,15,16,$15.90
200,299,16,17,$16.36
200,299,17,18,$16.82
200,299,18,19,$17.28
200,299,19,20,$17.74
200,299,20,21,$18.20
200,299,21,22,$18.66
2600,2620,6,7,$11.76
2600,2620,7,8,$12.22
2600,2620,8,9,$12.68
2600,2620,9,10,$13.14
2600,2620,10,11,$13.60
2600,2620,11,12,$14.06
2600,2620,12,13,$14.52
2600,2620,13,14,$14.98
2600,2620,14,15,$15.44
2600,2620,15,16,$15.90
2600,2620,16,17,$16.36
2600,2620,17,18,$16.82
2600,2620,18,19,$17.28
2600,2620,19,20,$17.74
2600,2620,20,21,$18.20
2600,2620,21,22,$18.66
2900,2920,6,7,$11.76
2900,2920,7,8,$12.22
2900,2920,8,9,$12.68
2900,2920,9,10,$13.14
2900,2920,10,11,$13.60
2900,2920,11,12,$14.06
2900,2920,12,13,$14.52
2900,2920,13,14,$14.98
2900,2920,14,15,$15.44
2900,2920,15,16,$15.90
2900,2920,16,17,$16.36
2900,2920,17,18,$16.82
2900,2920,18,19,$17.28
2900,2920,19,20,$17.74
2900,2920,20,21,$18.20
2900,2920,21,22,$18.66
1000,1935,6,7,$8.00
1000,1935,7,8,$8.00
1000,1935,8,9,$8.00
1000,1935,9,10,$8.00
1000,1935,10,11,$8.00
1000,1935,11,12,$8.00
1000,1935,12,13,$8.00
1000,1935,13,14,$8.00
1000,1935,14,15,$8.00
1000,1935,15,16,$8.00
1000,1935,16,17,$8.00
1000,1935,17,18,$8.00
1000,1935,18,19,$8.00
1000,1935,19,20,$8.00
1000,1935,20,21,$8.00
1000,1935,21,22,$8.00
1936,1999,6,7,$13.70
1936,1999,7,8,$14.65
1936,1999,8,9,$15.60
1936,1999,9,10,$16.55
1936,1999,10,11,$17.50
1936,1999,11,12,$18.45
1936,1999,12,13,$19.40
1936,1999,13,14,$20.35
1936,1999,14,15,$21.30
1936,1999,15,16,$22.25
1936,1999,16,17,$23.20
1936,1999,17,18,$24.15
1936,1999,18,19,$25.10
1936,1999,19,20,$26.05
1936,1999,20,21,$27.00
1936,1999,21,22,$27.95
2000,2249,6,7,$8.00
2000,2249,7,8,$8.00
2000,2249,8,9,$8.00
2000,2249,9,10,$8.00
2000,2249,10,11,$8.00
2000,2249,11,12,$8.00
2000,2249,12,13,$8.00
2000,2249,13,14,$8.00
2000,2249,14,15,$8.00
2000,2249,15,16,$8.00
2000,2249,16,17,$8.00
2000,2249,17,18,$8.00
2000,2249,18,19,$8.00
2000,2249,19,20,$8.00
2000,2249,20,21,$8.00
2000,2249,21,22,$8.00
2250,2263,6,7,$10.16
2250,2263,7,8,$10.52
2250,2263,8,9,$10.88
2250,2263,9,10,$11.24
2250,2263,10,11,$11.60
2250,2263,11,12,$11.96
2250,2263,12,13,$12.32
2250,2263,13,14,$12.68
2250,2263,14,15,$13.04
2250,2263,15,16,$13.40
2250,2263,16,17,$13.76
2250,2263,17,18,$14.12
2250,2263,18,19,$14.48
2250,2263,19,20,$14.84
2250,2263,20,21,$15.20
2250,2263,21,22,$15.56
2264,2281,6,7,$13.70
2264,2281,7,8,$14.65
2264,2281,8,9,$15.60
2264,2281,9,10,$16.55
2264,2281,10,11,$17.50
2264,2281,11,12,$18.45
2264,2281,12,13,$19.40
2264,2281,13,14,$20.35
2264,2281,14,15,$21.30
2264,2281,15,16,$22.25
2264,2281,16,17,$23.20
2264,2281,17,18,$24.15
2264,2281,18,19,$25.10
2264,2281,19,20,$26.05
2264,2281,20,21,$27.00
2264,2281,21,22,$27.95
2282,2310,6,7,$10.76
2282,2310,7,8,$11.22
2282,2310,8,9,$11.68
2282,2310,9,10,$12.14
2282,2310,10,11,$12.60
2282,2310,11,12,$13.06
2282,2310,12,13,$13.52
2282,2310,13,14,$13.98
2282,2310,14,15,$14.44
2282,2310,15,16,$14.90
2282,2310,16,17,$15.36
2282,2310,17,18,$15.82
2282,2310,18,19,$16.28
2282,2310,19,20,$16.74
2282,2310,20,21,$17.20
2282,2310,21,22,$17.66
2311,2484,6,7,$13.70
2311,2484,7,8,$14.65
2311,2484,8,9,$15.60
2311,2484,9,10,$16.55
2311,2484,10,11,$17.50
2311,2484,11,12,$18.45
2311,2484,12,13,$19.40
2311,2484,13,14,$20.35
2311,2484,14,15,$21.30
2311,2484,15,16,$22.25
2311,2484,16,17,$23.20
2311,2484,17,18,$24.15
2311,2484,18,19,$25.10
2311,2484,19,20,$26.05
2311,2484,20,21,$27.00
2311,2484,21,22,$27.95
2485,2486,6,7,$13.70
2485,2486,7,8,$14.65
2485,2486,8,9,$15.60
2485,2486,9,10,$16.55
2485,2486,10,11,$17.50
2485,2486,11,12,$18.45
2485,2486,12,13,$19.40
2485,2486,13,14,$20.35
2485,2486,14,15,$21.30
2485,2486,15,16,$22.25
2485,2486,16,17,$23.20
2485,2486,17,18,$24.15
2485,2486,18,19,$25.10
2485,2486,19,20,$26.05
2485,2486,20,21,$27.00
2485,2486,21,22,$27.95
2487,2499,6,7,$13.70
2487,2499,7,8,$14.65
2487,2499,8,9,$15.60
2487,2499,9,10,$16.55
2487,2499,10,11,$17.50
2487,2499,11,12,$18.45
2487,2499,12,13,$19.40
2487,2499,13,14,$20.35
2487,2499,14,15,$21.30
2487,2499,15,16,$22.25
2487,2499,16,17,$23.20
2487,2499,17,18,$24.15
2487,2499,18,19,$25.10
2487,2499,19,20,$26.05
2487,2499,20,21,$27.00
2487,2499,21,22,$27.95
2500,2507,6,7,$10.16
2500,2507,7,8,$10.52
2500,2507,8,9,$10.88
2500,2507,9,10,$11.24
2500,2507,10,11,$11.60
2500,2507,11,12,$11.96
2500,2507,12,13,$12.32
2500,2507,13,14,$12.68
2500,2507,14,15,$13.04
2500,2507,15,16,$13.40
2500,2507,16,17,$13.76
2500,2507,17,18,$14.12
2500,2507,18,19,$14.48
2500,2507,19,20,$14.84
2500,2507,20,21,$15.20
2500,2507,21,22,$15.56
2508,2514,6,7,$8.00
2508,2514,7,8,$8.00
2508,2514,8,9,$8.00
2508,2514,9,10,$8.00
2508,2514,10,11,$8.00
2508,2514,11,12,$8.00
2508,2514,12,13,$8.00
2508,2514,13,14,$8.00
2508,2514,14,15,$8.00
2508,2514,15,16,$8.00
2508,2514,16,17,$8.00
2508,2514,17,18,$8.00
2508,2514,18,19,$8.00
2508,2514,19,20,$8.00
2508,2514,20,21,$8.00
2508,2514,21,22,$8.00
2515,2532,6,7,$10.16
2515,2532,7,8,$10.52
2515,2532,8,9,$10.88
2515,2532,9,10,$11.24
2515,2532,10,11,$11.60
2515,2532,11,12,$11.96
2515,2532,12,13,$12.32
2515,2532,13,14,$12.68
2515,2532,14,15,$13.04
2515,2532,15,16,$13.40
2515,2532,16,17,$13.76
2515,2532,17,18,$14.12
2515,2532,18,19,$14.48
2515,2532,19,20,$14.84
2515,2532,20,21,$15.20
2515,2532,21,22,$15.56
2533,2554,6,7,$13.70
2533,2554,7,8,$14.65
2533,2554,8,9,$15.60
2533,2554,9,10,$16.55
2533,2554,10,11,$17.50
2533,2554,11,12,$18.45
2533,2554,12,13,$19.40
2533,2554,13,14,$20.35
2533,2554,14,15,$21.30
2533,2554,15,16,$22.25
2533,2554,16,17,$23.20
2533,2554,17,18,$24.15
2533,2554,18,19,$25.10
2533,2554,19,20,$26.05
2533,2554,20,21,$27.00
2533,2554,21,22,$27.95
2555,2574,6,7,$8.00
2555,2574,7,8,$8.00
2555,2574,8,9,$8.00
2555,2574,9,10,$8.00
2555,2574,10,11,$8.00
2555,2574,11,12,$8.00
2555,2574,12,13,$8.00
2555,2574,13,14,$8.00
2555,2574,14,15,$8.00
2555,2574,15,16,$8.00
2555,2574,16,17,$8.00
2555,2574,17,18,$8.00
2555,2574,18,19,$8.00
2555,2574,19,20,$8.00
2555,2574,20,21,$8.00
2555,2574,21,22,$8.00
2575,2599,6,7,$13.70
2575,2599,7,8,$14.65
2575,2599,8,9,$15.60
2575,2599,9,10,$16.55
2575,2599,10,11,$17.50
2575,2599,11,12,$18.45
2575,2599,12,13,$19.40
2575,2599,13,14,$20.35
2575,2599,14,15,$21.30
2575,2599,15,16,$22.25
2575,2599,16,17,$23.20
2575,2599,17,18,$24.15
2575,2599,18,19,$25.10
2575,2599,19,20,$26.05
2575,2599,20,21,$27.00
2575,2599,21,22,$27.95
2621,2639,6,7,$13.70
2621,2639,7,8,$14.65
2621,2639,8,9,$15.60
2621,2639,9,10,$16.55
2621,2639,10,11,$17.50
2621,2639,11,12,$18.45
2621,2639,12,13,$19.40
2621,2639,13,14,$20.35
2621,2639,14,15,$21.30
2621,2639,15,16,$22.25
2621,2639,16,17,$23.20
2621,2639,17,18,$24.15
2621,2639,18,19,$25.10
2621,2639,19,20,$26.05
2621,2639,20,21,$27.00
2621,2639,21,22,$27.95
2640,2641,6,7,$13.70
2640,2641,7,8,$14.65
2640,2641,8,9,$15.60
2640,2641,9,10,$16.55
2640,2641,10,11,$17.50
2640,2641,11,12,$18.45
2640,2641,12,13,$19.40
2640,2641,13,14,$20.35
2640,2641,14,15,$21.30
2640,2641,15,16,$22.25
2640,2641,16,17,$23.20
2640,2641,17,18,$24.15
2640,2641,18,19,$25.10
2640,2641,19,20,$26.05
2640,2641,20,21,$27.00
2640,2641,21,22,$27.95
2642,2647,6,7,$13.70
2642,2647,7,8,$14.65
2642,2647,8,9,$15.60
2642,2647,9,10,$16.55
2642,2647,10,11,$17.50
2642,2647,11,12,$18.45
2642,2647,12,13,$19.40
2642,2647,13,14,$20.35
2642,2647,14,15,$21.30
2642,2647,15,16,$22.25
2642,2647,16,17,$23.20
2642,2647,17,18,$24.15
2642,2647,18,19,$25.10
2642,2647,19,20,$26.05
2642,2647,20,21,$27.00
2642,2647,21,22,$27.95
2648,2648,6,7,$15.38
2648,2648,7,8,$16.61
2648,2648,8,9,$17.84
2648,2648,9,10,$19.07
2648,2648,10,11,$20.30
2648,2648,11,12,$21.53
2648,2648,12,13,$22.76
2648,2648,13,14,$23.99
2648,2648,14,15,$25.22
2648,2648,15,16,$26.45
2648,2648,16,17,$27.68
2648,2648,17,18,$28.91
2648,2648,18,19,$30.14
2648,2648,19,20,$31.37
2648,2648,20,21,$32.60
2648,2648,21,22,$33.83
2649,2707,6,7,$13.70
2649,2707,7,8,$14.65
2649,2707,8,9,$15.60
2649,2707,9,10,$16.55
2649,2707,10,11,$17.50
2649,2707,11,12,$18.45
2649,2707,12,13,$19.40
2649,2707,13,14,$20.35
2649,2707,14,15,$21.30
2649,2707,15,16,$22.25
2649,2707,16,17,$23.20
2649,2707,17,18,$24.15
2649,2707,18,19,$25.10
2649,2707,19,20,$26.05
2649,2707,20,21,$27.00
2649,2707,21,22,$27.95
2708,2709,6,7,$13.70
2708,2709,7,8,$14.65
2708,2709,8,9,$15.60
2708,2709,9,10,$16.55
2708,2709,10,11,$17.50
2708,2709,11,12,$18.45
2708,2709,12,13,$19.40
2708,2709,13,14,$20.35
2708,2709,14,15,$21.30
2708,2709,15,16,$22.25
2708,2709,16,17,$23.20
2708,2709,17,18,$24.15
2708,2709,18,19,$25.10
2708,2709,19,20,$26.05
2708,2709,20,21,$27.00
2708,2709,21,22,$27.95
2710,2714,6,7,$13.70
2710,2714,7,8,$14.65
2710,2714,8,9,$15.60
2710,2714,9,10,$16.55
2710,2714,10,11,$17.50
2710,2714,11,12,$18.45
2710,2714,12,13,$19.40
2710,2714,13,14,$20.35
2710,2714,14,15,$21.30
2710,2714,15,16,$22.25
2710,2714,16,17,$23.20
2710,2714,17,18,$24.15
2710,2714,18,19,$25.10
2710,2714,19,20,$26.05
2710,2714,20,21,$27.00
2710,2714,21,22,$27.95
2715,2715,6,7,$15.38
2715,2715,7,8,$16.61
2715,2715,8,9,$17.84
2715,2715,9,10,$19.07
2715,2715,10,11,$20.30
2715,2715,11,12,$21.53
2715,2715,12,13,$22.76
2715,2715,13,14,$23.99
2715,2715,14,15,$25.22
2715,2715,15,16,$26.45
2715,2715,16,17,$27.68
2715,2715,17,18,$28.91
2715,2715,18,19,$30.14
2715,2715,19,20,$31.37
2715,2715,20,21,$32.60
2715,2715,21,22,$33.83
2716,2716,6,7,$13.70
2716,2716,7,8,$14.65
2716,2716,8,9,$15.60
2716,2716,9,10,$16.55
2716,2716,10,11,$17.50
2716,2716,11,12,$18.45
2716,2716,12,13,$19.40
2716,2716,13,14,$20.35
2716,2716,14,15,$21.30
2716,2716,15,16,$22.25
2716,2716,16,17,$23.20
2716,2716,17,18,$24.15
2716,2716,18,19,$25.10
2716,2716,19,20,$26.05
2716,2716,20,21,$27.00
2716,2716,21,22,$27.95
2717,2719,6,7,$15.38
2717,2719,7,8,$16.61
2717,2719,8,9,$17.84
2717,2719,9,10,$19.07
2717,2719,10,11,$20.30
2717,2719,11,12,$21.53
2717,2719,12,13,$22.76
2717,2719,13,14,$23.99
2717,2719,14,15,$25.22
2717,2719,15,16,$26.45
2717,2719,16,17,$27.68
2717,2719,17,18,$28.91
2717,2719,18,19,$30.14
2717,2719,19,20,$31.37
2717,2719,20,21,$32.60
2717,2719,21,22,$33.83
2720,2730,6,7,$13.70
2720,2730,7,8,$14.65
2720,2730,8,9,$15.60
2720,2730,9,10,$16.55
2720,2730,10,11,$17.50
2720,2730,11,12,$18.45
2720,2730,12,13,$19.40
2720,2730,13,14,$20.35
2720,2730,14,15,$21.30
2720,2730,15,16,$22.25
2720,2730,16,17,$23.20
2720,2730,17,18,$24.15
2720,2730,18,19,$25.10
2720,2730,19,20,$26.05
2720,2730,20,21,$27.00
2720,2730,21,22,$27.95
2731,2739,6,7,$15.38
2731,2739,7,8,$16.61
2731,2739,8,9,$17.84
2731,2739,9,10,$19.07
2731,2739,10,11,$20.30
2731,2739,11,12,$21.53
2731,2739,12,13,$22.76
2731,2739,13,14,$23.99
2731,2739,14,15,$25.22
2731,2739,15,16,$26.45
2731,2739,16,17,$27.68
2731,2739,17,18,$28.91
2731,2739,18,19,$30.14
2731,2739,19,20,$31.37
2731,2739,20,21,$32.60
2731,2739,21,22,$33.83
2740,2786,6,7,$8.00
2740,2786,7,8,$8.00
2740,2786,8,9,$8.00
2740,2786,9,10,$8.00
2740,2786,10,11,$8.00
2740,2786,11,12,$8.00
2740,2786,12,13,$8.00
2740,2786,13,14,$8.00
2740,2786,14,15,$8.00
2740,2786,15,16,$8.00
2740,2786,16,17,$8.00
2740,2786,17,18,$8.00
2740,2786,18,19,$8.00
2740,2786,19,20,$8.00
2740,2786,20,21,$8.00
2740,2786,21,22,$8.00
2787,2879,6,7,$13.70
2787,2879,7,8,$14.65
2787,2879,8,9,$15.60
2787,2879,9,10,$16.55
2787,2879,10,11,$17.50
2787,2879,11,12,$18.45
2787,2879,12,13,$19.40
2787,2879,13,14,$20.35
2787,2879,14,15,$21.30
2787,2879,15,16,$22.25
2787,2879,16,17,$23.20
2787,2879,17,18,$24.15
2787,2879,18,19,$25.10
2787,2879,19,20,$26.05
2787,2879,20,21,$27.00
2787,2879,21,22,$27.95
2880,2889,6,7,$20.84
2880,2889,7,8,$22.98
2880,2889,8,9,$25.12
2880,2889,9,10,$27.26
2880,2889,10,11,$29.40
2880,2889,11,12,$31.54
2880,2889,12,13,$33.68
2880,2889,13,14,$35.82
2880,2889,14,15,$37.96
2880,2889,15,16,$40.10
2880,2889,16,17,$42.24
2880,2889,17,18,$44.38
2880,2889,18,19,$46.52
2880,2889,19,20,$48.66
2880,2889,20,21,$50.80
2880,2889,21,22,$52.94
2890,2897,6,7,$8.00
2890,2897,7,8,$8.00
2890,2897,8,9,$8.00
2890,2897,9,10,$8.00
2890,2897,10,11,$8.00
2890,2897,11,12,$8.00
2890,2897,12,13,$8.00
2890,2897,13,14,$8.00
2890,2897,14,15,$8.00
2890,2897,15,16,$8.00
2890,2897,16,17,$8.00
2890,2897,17,18,$8.00
2890,2897,18,19,$8.00
2890,2897,19,20,$8.00
2890,2897,20,21,$8.00
2890,2897,21,22,$8.00
2898,2899,6,7,$27.32
2898,2899,7,8,$30.54
2898,2899,8,9,$33.76
2898,2899,9,10,$36.98
2898,2899,10,11,$40.20
2898,2899,11,12,$43.42
2898,2899,12,13,$46.64
2898,2899,13,14,$49.86
2898,2899,14,15,$53.08
2898,2899,15,16,$56.30
2898,2899,16,17,$59.52
2898,2899,17,18,$62.74
2898,2899,18,19,$65.96
2898,2899,19,20,$69.18
2898,2899,20,21,$72.40
2898,2899,21,22,$75.62
800,802,6,7,$38.84
800,802,7,8,$43.48
800,802,8,9,$48.12
800,802,9,10,$52.76
800,802,10,11,$57.40
800,802,11,12,$62.04
800,802,12,13,$66.68
800,802,13,14,$71.32
800,802,14,15,$75.96
800,802,15,16,$80.60
800,802,16,17,$85.24
800,802,17,18,$89.88
800,802,18,19,$94.52
800,802,19,20,$99.16
800,802,20,21,$103.80
800,802,21,22,$108.44
803,803,6,7,$38.84
803,803,7,8,$43.48
803,803,8,9,$48.12
803,803,9,10,$52.76
803,803,10,11,$57.40
803,803,11,12,$62.04
803,803,12,13,$66.68
803,803,13,14,$71.32
803,803,14,15,$75.96
803,803,15,16,$80.60
803,803,16,17,$85.24
803,803,17,18,$89.88
803,803,18,19,$94.52
803,803,19,20,$99.16
803,803,20,21,$103.80
803,803,21,22,$108.44
804,821,6,7,$38.84
804,821,7,8,$43.48
804,821,8,9,$48.12
804,821,9,10,$52.76
804,821,10,11,$57.40
804,821,11,12,$62.04
804,821,12,13,$66.68
804,821,13,14,$71.32
804,821,14,15,$75.96
804,821,15,16,$80.60
804,821,16,17,$85.24
804,821,17,18,$89.88
804,821,18,19,$94.52
804,821,19,20,$99.16
804,821,20,21,$103.80
804,821,21,22,$108.44
822,827,6,7,$38.84
822,827,7,8,$43.48
822,827,8,9,$48.12
822,827,9,10,$52.76
822,827,10,11,$57.40
822,827,11,12,$62.04
822,827,12,13,$66.68
822,827,13,14,$71.32
822,827,14,15,$75.96
822,827,15,16,$80.60
822,827,16,17,$85.24
822,827,17,18,$89.88
822,827,18,19,$94.52
822,827,19,20,$99.16
822,827,20,21,$103.80
822,827,21,22,$108.44
828,851,6,7,$38.84
828,851,7,8,$43.48
828,851,8,9,$48.12
828,851,9,10,$52.76
828,851,10,11,$57.40
828,851,11,12,$62.04
828,851,12,13,$66.68
828,851,13,14,$71.32
828,851,14,15,$75.96
828,851,15,16,$80.60
828,851,16,17,$85.24
828,851,17,18,$89.88
828,851,18,19,$94.52
828,851,19,20,$99.16
828,851,20,21,$103.80
828,851,21,22,$108.44
852,852,6,7,$38.84
852,852,7,8,$43.48
852,852,8,9,$48.12
852,852,9,10,$52.76
852,852,10,11,$57.40
852,852,11,12,$62.04
852,852,12,13,$66.68
852,852,13,14,$71.32
852,852,14,15,$75.96
852,852,15,16,$80.60
852,852,16,17,$85.24
852,852,17,18,$89.88
852,852,18,19,$94.52
852,852,19,20,$99.16
852,852,20,21,$103.80
852,852,21,22,$108.44
853,858,6,7,$38.84
853,858,7,8,$43.48
853,858,8,9,$48.12
853,858,9,10,$52.76
853,858,10,11,$57.40
853,858,11,12,$62.04
853,858,12,13,$66.68
853,858,13,14,$71.32
853,858,14,15,$75.96
853,858,15,16,$80.60
853,858,16,17,$85.24
853,858,17,18,$89.88
853,858,18,19,$94.52
853,858,19,20,$99.16
853,858,20,21,$103.80
853,858,21,22,$108.44
854,859,6,7,$38.84
854,859,7,8,$43.48
854,859,8,9,$48.12
854,859,9,10,$52.76
854,859,10,11,$57.40
854,859,11,12,$62.04
854,859,12,13,$66.68
854,859,13,14,$71.32
854,859,14,15,$75.96
854,859,15,16,$80.60
854,859,16,17,$85.24
854,859,17,18,$89.88
854,859,18,19,$94.52
854,859,19,20,$99.16
854,859,20,21,$103.80
854,859,21,22,$108.44
860,861,6,7,$38.84
860,861,7,8,$43.48
860,861,8,9,$48.12
860,861,9,10,$52.76
860,861,10,11,$57.40
860,861,11,12,$62.04
860,861,12,13,$66.68
860,861,13,14,$71.32
860,861,14,15,$75.96
860,861,15,16,$80.60
860,861,16,17,$85.24
860,861,17,18,$89.88
860,861,18,19,$94.52
860,861,19,20,$99.16
860,861,20,21,$103.80
860,861,21,22,$108.44
862,869,6,7,$38.84
862,869,7,8,$43.48
862,869,8,9,$48.12
862,869,9,10,$52.76
862,869,10,11,$57.40
862,869,11,12,$62.04
862,869,12,13,$66.68
862,869,13,14,$71.32
862,869,14,15,$75.96
862,869,15,16,$80.60
862,869,16,17,$85.24
862,869,17,18,$89.88
862,869,18,19,$94.52
862,869,19,20,$99.16
862,869,20,21,$103.80
862,869,21,22,$108.44
870,871,6,7,$38.84
870,871,7,8,$43.48
870,871,8,9,$48.12
870,871,9,10,$52.76
870,871,10,11,$57.40
870,871,11,12,$62.04
870,871,12,13,$66.68
870,871,13,14,$71.32
870,871,14,15,$75.96
870,871,15,16,$80.60
870,871,16,17,$85.24
870,871,17,18,$89.88
870,871,18,19,$94.52
870,871,19,20,$99.16
870,871,20,21,$103.80
870,871,21,22,$108.44
872,872,6,7,$38.84
872,872,7,8,$43.48
872,872,8,9,$48.12
872,872,9,10,$52.76
872,872,10,11,$57.40
872,872,11,12,$62.04
872,872,12,13,$66.68
872,872,13,14,$71.32
872,872,14,15,$75.96
872,872,15,16,$80.60
872,872,16,17,$85.24
872,872,17,18,$89.88
872,872,18,19,$94.52
872,872,19,20,$99.16
872,872,20,21,$103.80
872,872,21,22,$108.44
873,879,6,7,$38.84
873,879,7,8,$43.48
873,879,8,9,$48.12
873,879,9,10,$52.76
873,879,10,11,$57.40
873,879,11,12,$62.04
873,879,12,13,$66.68
873,879,13,14,$71.32
873,879,14,15,$75.96
873,879,15,16,$80.60
873,879,16,17,$85.24
873,879,17,18,$89.88
873,879,18,19,$94.52
873,879,19,20,$99.16
873,879,20,21,$103.80
873,879,21,22,$108.44
880,905,6,7,$38.84
880,905,7,8,$43.48
880,905,8,9,$48.12
880,905,9,10,$52.76
880,905,10,11,$57.40
880,905,11,12,$62.04
880,905,12,13,$66.68
880,905,13,14,$71.32
880,905,14,15,$75.96
880,905,15,16,$80.60
880,905,16,17,$85.24
880,905,17,18,$89.88
880,905,18,19,$94.52
880,905,19,20,$99.16
880,905,20,21,$103.80
880,905,21,22,$108.44
906,999,6,7,$38.84
906,999,7,8,$43.48
906,999,8,9,$48.12
906,999,9,10,$52.76
906,999,10,11,$57.40
906,999,11,12,$62.04
906,999,12,13,$66.68
906,999,13,14,$71.32
906,999,14,15,$75.96
906,999,15,16,$80.60
906,999,16,17,$85.24
906,999,17,18,$89.88
906,999,18,19,$94.52
906,999,19,20,$99.16
906,999,20,21,$103.80
906,999,21,22,$108.44
4000,4209,6,7,$12.90
4000,4209,7,8,$13.55
4000,4209,8,9,$14.20
4000,4209,9,10,$14.85
4000,4209,10,11,$15.50
4000,4209,11,12,$16.15
4000,4209,12,13,$16.80
4000,4209,13,14,$17.45
4000,4209,14,15,$18.10
4000,4209,15,16,$18.75
4000,4209,16,17,$19.40
4000,4209,17,18,$20.05
4000,4209,18,19,$20.70
4000,4209,19,20,$21.35
4000,4209,20,21,$22.00
4000,4209,21,22,$22.65
4210,4224,6,7,$15.60
4210,4224,7,8,$16.70
4210,4224,8,9,$17.80
4210,4224,9,10,$18.90
4210,4224,10,11,$20.00
4210,4224,11,12,$21.10
4210,4224,12,13,$22.20
4210,4224,13,14,$23.30
4210,4224,14,15,$24.40
4210,4224,15,16,$25.50
4210,4224,16,17,$26.60
4210,4224,17,18,$27.70
4210,4224,18,19,$28.80
4210,4224,19,20,$29.90
4210,4224,20,21,$31.00
4210,4224,21,22,$32.10
4225,4225,6,7,$14.16
4225,4225,7,8,$15.02
4225,4225,8,9,$15.88
4225,4225,9,10,$16.74
4225,4225,10,11,$17.60
4225,4225,11,12,$18.46
4225,4225,12,13,$19.32
4225,4225,13,14,$20.18
4225,4225,14,15,$21.04
4225,4225,15,16,$21.90
4225,4225,16,17,$22.76
4225,4225,17,18,$23.62
4225,4225,18,19,$24.48
4225,4225,19,20,$25.34
4225,4225,20,21,$26.20
4225,4225,21,22,$27.06
4226,4269,6,7,$15.60
4226,4269,7,8,$16.70
4226,4269,8,9,$17.80
4226,4269,9,10,$18.90
